FaixaInicio;FaixaFinal;Intervalo;Percurso;TempTerm;Frota;Linha;Dia;Sentido;Oso;LinhaOso
;;;;;;;;;444401;071801
;;;;;;;;;479900;072000
;;;;;;;;;479901;072001
;;;;;;;;;479902;072002
;;;;;;;;;461000;072800
;;;;;;;;;390600;101700
;;;;;;;;;400900;102500
;;;;;;;;;400901;102501
;;;;;;;;;440400;103400
;;;;;;;;;440401;103401
;;;;;;;;;440402;103402
;;;;;;;;;401000;104100
;;;;;;;;;401001;104101
;;;;;;;;;463800;104600
;;;;;;;;;463801;104601
;;;;;;;;;463802;104602
;;;;;;;;;477900;104900
;;;;;;;;;477901;104901
;;;;;;;;;478000;105300
;;;;;;;;;478001;105301
;;;;;;;;;478002;105302
;;;;;;;;;478003;105303
;;;;;;;;;478100;105500
;;;;;;;;;478101;105501
;;;;;;;;;478102;105502
;;;;;;;;;464100;105700
;;;;;;;;;464101;105701
;;;;;;;;;478200;107000
;;;;;;;;;478300;107700
;;;;;;;;;478301;107701
;;;;;;;;;464200;107800
;;;;;;;;;464201;107801
;;;;;;;;;478400;107900
;;;;;;;;;478401;107901
;;;;;;;;;478402;107902
;;;;;;;;;478403;107903
;;;;;;;;;444600;131800
;;;;;;;;;444601;131801
;;;;;;;;;444602;131802
;;;;;;;;;444603;131803
;;;;;;;;;444605;131805
;;;;;;;;;444606;131806
;;;;;;;;;470300;134200
;;;;;;;;;470301;134201
;;;;;;;;;470304;134204
;;;;;;;;;466200;134400
;;;;;;;;;392400;150200
;;;;;;;;;392401;150201
;;;;;;;;;471800;150500
;;;;;;;;;471803;150503
;;;;;;;;;478500;151100
;;;;;;;;;431500;151500
;;;;;;;;;431501;151501
;;;;;;;;;431502;151502
;;;;;;;;;471900;151900
;;;;;;;;;442400;152100
;;;;;;;;;442401;152101
;;;;;;;;;442500;152200
;;;;;;;;;479100;153300
;;;;;;;;;363900;153500
;;;;;;;;;472000;155000
;;;;;;;;;472001;155001
;;;;;;;;;472002;155002
;;;;;;;;;472003;155003
;;;;;;;;;472004;155004
;;;;;;;;;472100;156800
;;;;;;;;;472101;156801
;;;;;;;;;472104;156804
;;;;;;;;;386100;160300
;;;;;;;;;461900;160400
;;;;;;;;;426100;160600
;;;;;;;;;426101;160601
;;;;;;;;;426102;160602
;;;;;;;;;426103;160603
;;;;;;;;;426104;160604
;;;;;;;;;426105;160605
;;;;;;;;;472200;160700
;;;;;;;;;472203;160703
;;;;;;;;;472204;160704
;;;;;;;;;472205;160705
;;;;;;;;;472206;160706
;;;;;;;;;472207;160707
;;;;;;;;;462100;160800
;;;;;;;;;462103;160803
;;;;;;;;;430000;161200
;;;;;;;;;430001;161201
;;;;;;;;;430004;161204
;;;;;;;;;430005;161205
;;;;;;;;;472300;161300
;;;;;;;;;426400;161500
;;;;;;;;;426401;161501
;;;;;;;;;426402;161502
;;;;;;;;;404200;162000
;;;;;;;;;404300;162300
;;;;;;;;;472400;162500
;;;;;;;;;472401;162501
;;;;;;;;;472402;162502
;;;;;;;;;472403;162503
;;;;;;;;;472404;162504
;;;;;;;;;472500;162700
;;;;;;;;;472505;162705
;;;;;;;;;404500;162800
;;;;;;;;;480000;163300
;;;;;;;;;480001;163301
;;;;;;;;;480003;163303
;;;;;;;;;480004;163304
;;;;;;;;;480005;163305
;;;;;;;;;480006;163306
;;;;;;;;;480007;163307
;;;;;;;;;480008;163308
;;;;;;;;;478700;163600
;;;;;;;;;478701;163601
;;;;;;;;;478800;163700
;;;;;;;;;478802;163702
;;;;;;;;;478803;163703
;;;;;;;;;478804;163704
;;;;;;;;;478805;163705
;;;;;;;;;478806;163706
;;;;;;;;;478807;163707
;;;;;;;;;478808;163708
;;;;;;;;;426800;163800
;;;;;;;;;426801;163801
;;;;;;;;;472700;164700
;;;;;;;;;472701;164701
;;;;;;;;;472702;164702
;;;;;;;;;472703;164703
;;;;;;;;;472704;164704
;;;;;;;;;472705;164705
;;;;;;;;;472706;164706
;;;;;;;;;357900;164800
;;;;;;;;;478900;164900
;;;;;;;;;478901;164901
;;;;;;;;;478902;164902
;;;;;;;;;478903;164903
;;;;;;;;;478904;164904
;;;;;;;;;478905;164905
;;;;;;;;;462600;165100
;;;;;;;;;472900;165500
;;;;;;;;;472901;165501
;;;;;;;;;472902;165502
;;;;;;;;;472903;165503
;;;;;;;;;472904;165504
;;;;;;;;;472905;165505
;;;;;;;;;440900;166200
;;;;;;;;;473000;167100
;;;;;;;;;473001;167101
;;;;;;;;;473002;167102
;;;;;;;;;473003;167103
;;;;;;;;;473004;167104
;;;;;;;;;473100;167200
;;;;;;;;;473101;167201
;;;;;;;;;479200;167300
;;;;;;;;;463000;167400
;;;;;;;;;463001;167401
;;;;;;;;;463002;167402
;;;;;;;;;463003;167403
;;;;;;;;;434402;167602
;;;;;;;;;473200;170700
;;;;;;;;;473201;170701
;;;;;;;;;473202;170702
;;;;;;;;;473203;170703
;;;;;;;;;387800;170800
;;;;;;;;;387801;170801
;;;;;;;;;387802;170802
;;;;;;;;;387803;170803
;;;;;;;;;387804;170804
;;;;;;;;;387805;170805
;;;;;;;;;387806;170806
;;;;;;;;;473300;171000
;;;;;;;;;473301;171001
;;;;;;;;;473302;171002
;;;;;;;;;473303;171003
;;;;;;;;;464800;171100
;;;;;;;;;464801;171101
;;;;;;;;;464802;171102
;;;;;;;;;473400;171700
;;;;;;;;;473401;171701
;;;;;;;;;473402;171702
;;;;;;;;;465000;171800
;;;;;;;;;465001;171801
;;;;;;;;;465002;171802
;;;;;;;;;465003;171803
;;;;;;;;;465004;171804
;;;;;;;;;476600;180000
;;;;;;;;;476601;180001
;;;;;;;;;476602;180002
;;;;;;;;;921200;189900
;;;;;;;;;391600;200700
;;;;;;;;;391601;200701
;;;;;;;;;391602;200702
;;;;;;;;;427400;200900
